age,monthly_income,dependents,horizon_years,emergency_fund,drop_reaction,goal_type,experience,monthly_investable,risk_label
34,39481,1,1,yes,hold,tax_saving,none,7212,Conservative
40,41025,0,7,no,buy_more,child_education,none,7183,Aggressive
42,38968,0,5,yes,sell,wealth_creation,some,13217,Moderate
51,80696,2,3,no,sell,retirement,some,6897,Conservative
48,72205,3,3,yes,hold,tax_saving,none,17556,Conservative
55,50768,0,7,yes,hold,retirement,some,3456,Moderate
35,41490,0,5,yes,hold,child_education,none,10599,Aggressive
41,77791,2,5,yes,buy_more,retirement,experienced,16950,Aggressive
38,48586,2,2,no,sell,wealth_creation,some,13024,Conservative
57,33920,1,20,no,hold,child_education,none,9336,Conservative
33,22644,1,3,yes,buy_more,retirement,none,2029,Aggressive
44,40191,4,5,yes,hold,retirement,none,5321,Moderate
25,68843,0,3,no,hold,retirement,none,8654,Conservative
55,136549,1,10,yes,sell,child_education,some,31735,Conservative
36,50398,2,5,yes,hold,child_education,some,6426,Aggressive
34,34738,1,5,yes,sell,wealth_creation,none,7113,Moderate
44,28760,3,15,no,hold,short_term,experienced,5252,Moderate
40,62842,2,10,yes,hold,short_term,none,14183,Moderate
54,22157,1,7,yes,buy_more,retirement,some,3443,Aggressive
42,62796,0,5,no,hold,retirement,none,20564,Conservative
41,70825,2,20,no,sell,child_education,none,24045,Conservative
25,59654,0,20,no,buy_more,retirement,some,9262,Aggressive
21,44406,0,10,no,hold,tax_saving,none,14399,Moderate
36,63210,1,10,no,hold,retirement,none,18198,Moderate
60,52940,1,15,no,sell,tax_saving,some,6238,Conservative
57,34538,4,20,no,buy_more,retirement,some,7558,Moderate
46,112722,2,2,yes,buy_more,retirement,experienced,18406,Aggressive
46,41845,3,20,yes,sell,retirement,some,12146,Moderate
36,69500,0,10,no,hold,child_education,none,22113,Moderate
28,16508,1,7,no,hold,retirement,some,3907,Aggressive
21,87065,4,5,yes,sell,wealth_creation,experienced,20811,Aggressive
34,94934,1,5,no,hold,wealth_creation,none,25288,Conservative
33,49683,3,10,no,hold,wealth_creation,none,9863,Conservative
28,63035,1,7,yes,sell,short_term,some,12052,Moderate
31,63027,0,3,no,sell,wealth_creation,some,13800,Conservative
21,36707,1,7,yes,buy_more,tax_saving,none,10847,Aggressive
45,62705,0,2,no,hold,tax_saving,some,15314,Conservative
58,34068,0,5,no,sell,child_education,none,3174,Conservative
48,37274,0,7,no,buy_more,child_education,some,3433,Aggressive
38,81399,0,7,no,buy_more,retirement,some,14226,Moderate
37,76008,1,2,no,buy_more,short_term,none,18829,Conservative
33,35672,3,2,yes,hold,short_term,none,5969,Conservative
26,35238,1,3,no,sell,child_education,some,5797,Moderate
44,36661,3,7,yes,sell,child_education,none,11681,Conservative
43,68165,1,20,no,buy_more,short_term,experienced,21162,Moderate
21,31257,0,10,yes,buy_more,wealth_creation,experienced,6023,Aggressive
37,57556,0,10,yes,hold,wealth_creation,some,15280,Aggressive
32,68602,4,5,yes,hold,child_education,some,12734,Aggressive
27,47112,2,2,yes,hold,child_education,experienced,10880,Aggressive
49,77228,4,15,yes,hold,retirement,some,10221,Moderate
42,42747,0,7,yes,sell,tax_saving,some,8517,Moderate
46,44523,2,2,yes,hold,retirement,none,10808,Conservative
49,31578,2,7,yes,hold,wealth_creation,experienced,5764,Aggressive
60,77476,4,10,no,buy_more,wealth_creation,none,21524,Moderate
53,34719,0,3,yes,hold,wealth_creation,none,4520,Moderate
45,57376,4,1,no,hold,short_term,some,3090,Conservative
56,47472,1,7,yes,sell,retirement,none,15393,Conservative
40,30523,3,1,no,sell,tax_saving,none,4832,Conservative
60,37268,1,5,no,sell,tax_saving,some,4681,Conservative
51,91335,1,15,no,hold,short_term,none,17610,Conservative
47,53677,1,20,no,hold,retirement,experienced,6699,Aggressive
57,31128,3,5,no,hold,wealth_creation,experienced,8403,Conservative
41,56240,0,1,yes,hold,short_term,some,7988,Moderate
49,45901,1,5,yes,hold,short_term,none,15950,Conservative
32,231960,1,3,yes,hold,wealth_creation,some,30820,Moderate
59,55731,2,15,no,buy_more,wealth_creation,none,8836,Moderate
45,41304,1,10,no,sell,child_education,some,8736,Conservative
52,92875,2,5,yes,hold,wealth_creation,none,4736,Moderate
39,21408,1,10,no,sell,retirement,some,1096,Moderate
55,51146,2,5,yes,sell,child_education,none,6144,Conservative
23,120269,2,7,no,hold,child_education,experienced,8959,Aggressive
25,46523,2,20,no,buy_more,retirement,none,12934,Aggressive
41,22471,3,3,yes,hold,child_education,some,7000,Moderate
50,41020,1,3,no,hold,wealth_creation,none,7136,Conservative
53,94327,0,15,yes,sell,child_education,some,19332,Moderate
38,58059,2,5,no,sell,tax_saving,experienced,13575,Conservative
46,33607,0,3,no,buy_more,wealth_creation,none,2636,Moderate
43,36013,0,1,yes,hold,child_education,none,6876,Moderate
59,38106,2,5,yes,hold,child_education,none,12872,Conservative
47,57672,1,7,yes,buy_more,retirement,some,6480,Aggressive
37,89517,1,5,no,hold,short_term,some,6733,Moderate
59,78715,4,3,no,sell,short_term,experienced,10561,Conservative
25,60186,0,5,yes,hold,tax_saving,experienced,12902,Aggressive
60,26923,0,7,yes,hold,wealth_creation,none,8360,Conservative
27,26968,0,15,yes,hold,retirement,experienced,4218,Aggressive
32,62315,0,7,yes,hold,child_education,experienced,9561,Aggressive
53,26756,2,7,yes,hold,wealth_creation,some,4091,Aggressive
50,44289,2,15,no,hold,tax_saving,none,13387,Conservative
59,56210,1,2,yes,hold,tax_saving,some,10724,Conservative
50,29380,0,3,no,sell,retirement,some,4389,Conservative
46,30917,1,1,yes,hold,retirement,none,3187,Conservative
34,46987,0,5,no,hold,retirement,none,4119,Moderate
21,61490,2,20,yes,hold,retirement,some,21044,Aggressive
25,79037,2,5,yes,buy_more,child_education,some,15485,Aggressive
32,64419,0,15,yes,hold,retirement,none,4616,Aggressive
22,50672,3,2,no,hold,retirement,experienced,16311,Conservative
41,35038,2,5,no,sell,tax_saving,none,11780,Conservative
52,30275,0,5,yes,hold,child_education,none,3667,Moderate
59,38952,2,3,yes,sell,retirement,none,5641,Conservative
40,58951,2,5,no,hold,retirement,some,19934,Moderate
56,57038,0,7,yes,hold,short_term,none,3121,Conservative
60,19054,0,5,no,sell,tax_saving,some,2806,Conservative
55,34421,2,15,yes,buy_more,tax_saving,some,6162,Aggressive
39,84290,4,15,no,hold,retirement,none,23695,Moderate
34,50799,1,5,no,hold,child_education,none,8144,Conservative
60,25909,1,20,yes,hold,tax_saving,some,3925,Moderate
30,141509,2,1,no,hold,child_education,some,38040,Conservative
37,48386,1,3,yes,hold,child_education,none,14747,Moderate
23,58276,0,5,no,sell,short_term,some,4544,Conservative
52,58676,1,7,no,buy_more,retirement,some,5441,Moderate
46,41547,3,7,no,hold,short_term,experienced,10300,Conservative
24,35333,3,7,yes,hold,tax_saving,some,5098,Aggressive
29,127357,4,15,yes,hold,retirement,none,31906,Aggressive
43,76990,0,3,yes,sell,wealth_creation,some,7866,Moderate
42,70960,1,15,no,buy_more,retirement,none,20664,Aggressive
53,63533,1,7,no,hold,child_education,some,9302,Conservative
31,31210,0,5,yes,buy_more,short_term,none,4698,Aggressive
57,87106,0,3,no,sell,short_term,experienced,9029,Conservative
38,33543,2,3,no,buy_more,short_term,some,3804,Conservative
53,55685,2,5,no,buy_more,tax_saving,experienced,12780,Moderate
30,23441,2,10,yes,buy_more,child_education,some,5262,Aggressive
22,19567,0,5,yes,buy_more,retirement,none,5817,Aggressive
23,56569,1,2,yes,hold,wealth_creation,none,13524,Moderate
35,34060,0,10,no,hold,tax_saving,none,6074,Aggressive
59,20027,0,10,no,sell,child_education,some,5828,Conservative
22,62522,1,20,no,hold,child_education,experienced,3437,Aggressive
35,127266,0,7,yes,hold,child_education,none,33157,Aggressive
25,91610,4,7,no,sell,short_term,some,19508,Conservative
58,43660,1,5,no,hold,retirement,none,5076,Conservative
48,49216,0,10,yes,sell,retirement,some,11873,Moderate
51,73091,0,5,yes,hold,wealth_creation,experienced,25289,Aggressive
49,81223,2,2,yes,hold,short_term,none,12504,Conservative
47,41999,0,20,no,buy_more,tax_saving,none,10144,Aggressive
51,49780,0,10,yes,sell,retirement,some,9050,Aggressive
21,56121,1,7,yes,sell,wealth_creation,none,9413,Aggressive
55,62896,0,5,yes,hold,child_education,none,8940,Moderate
50,46171,2,10,no,hold,retirement,none,5479,Moderate
50,46442,1,2,no,sell,tax_saving,some,5604,Conservative
36,91210,0,5,no,hold,wealth_creation,experienced,25746,Moderate
53,84481,2,2,no,buy_more,tax_saving,experienced,12430,Conservative
36,60768,1,2,no,hold,short_term,some,12692,Conservative
22,106255,2,1,no,sell,retirement,some,12118,Conservative
57,41196,0,10,yes,sell,short_term,some,4685,Conservative
30,101756,2,3,no,hold,short_term,some,23009,Conservative
25,62575,0,15,no,hold,wealth_creation,none,14068,Aggressive
45,213621,1,15,no,buy_more,child_education,none,43061,Aggressive
30,28663,0,2,yes,sell,short_term,some,7393,Conservative
55,35946,4,10,yes,hold,tax_saving,experienced,8666,Aggressive
38,59187,0,5,yes,buy_more,retirement,some,6512,Aggressive
21,58615,3,15,yes,sell,wealth_creation,experienced,3906,Aggressive
59,117896,3,5,yes,buy_more,wealth_creation,none,15432,Moderate
41,36287,1,5,yes,hold,wealth_creation,none,6508,Moderate
31,73659,0,3,yes,hold,tax_saving,experienced,8285,Aggressive
48,82711,1,15,no,hold,child_education,none,16105,Conservative
42,67311,4,3,no,buy_more,retirement,some,4106,Moderate
22,31810,2,15,no,buy_more,short_term,none,6143,Aggressive
51,92363,1,3,yes,sell,tax_saving,experienced,14358,Conservative
37,85237,0,7,yes,hold,short_term,none,28787,Moderate
48,64203,3,5,yes,sell,child_education,experienced,20096,Conservative
56,53742,0,2,no,sell,wealth_creation,none,18021,Conservative
45,54271,0,2,yes,hold,tax_saving,none,13440,Conservative
47,47314,0,3,no,hold,wealth_creation,experienced,16161,Conservative
31,65404,1,10,yes,hold,wealth_creation,none,6988,Aggressive
30,49712,3,10,yes,sell,tax_saving,none,10425,Moderate
37,33461,2,3,yes,sell,retirement,some,9133,Conservative
55,30580,0,5,yes,sell,retirement,none,5954,Conservative
41,34946,1,2,yes,sell,retirement,none,3988,Conservative
34,54174,2,10,no,sell,retirement,none,13334,Conservative
52,48429,1,10,yes,buy_more,wealth_creation,some,16531,Aggressive
55,54008,0,15,yes,sell,retirement,none,11177,Moderate
57,61412,1,15,yes,buy_more,retirement,experienced,7641,Aggressive
32,36964,2,5,no,sell,short_term,some,2297,Conservative
49,94802,4,3,no,hold,short_term,none,7701,Conservative
44,43457,2,15,no,sell,child_education,some,12305,Moderate
38,40334,0,2,yes,sell,child_education,some,7888,Conservative
36,60905,2,1,no,hold,child_education,some,6857,Conservative
25,21451,0,3,yes,hold,short_term,some,6607,Moderate
31,34346,3,10,no,hold,wealth_creation,some,6210,Moderate
42,76227,1,10,no,hold,retirement,none,22008,Moderate
56,22430,0,20,yes,buy_more,child_education,some,6580,Aggressive
55,81057,1,5,yes,hold,child_education,none,21510,Conservative
28,96762,0,3,yes,sell,tax_saving,experienced,33070,Moderate
48,41512,0,5,yes,sell,tax_saving,some,13245,Moderate
24,55899,1,10,yes,hold,retirement,some,4898,Aggressive
48,81112,2,3,yes,buy_more,retirement,some,12420,Moderate
34,39733,3,20,yes,sell,tax_saving,none,13361,Moderate
38,72438,1,7,no,hold,retirement,none,17868,Moderate
49,36242,0,10,yes,hold,wealth_creation,none,6636,Moderate
37,39540,1,15,no,buy_more,short_term,some,12203,Aggressive
53,34210,1,5,yes,sell,child_education,some,8267,Moderate
42,57193,0,10,yes,buy_more,child_education,none,9217,Aggressive
60,82543,3,5,yes,hold,retirement,some,10844,Moderate
46,45123,4,15,no,hold,wealth_creation,none,13777,Conservative
32,27665,0,15,yes,buy_more,tax_saving,some,8410,Aggressive
52,30115,2,7,no,hold,tax_saving,none,9802,Conservative
37,58546,2,3,no,sell,child_education,experienced,16706,Conservative
42,112403,0,20,no,sell,wealth_creation,some,11850,Moderate
26,58523,2,20,yes,hold,retirement,some,9746,Aggressive
25,41187,0,7,yes,hold,wealth_creation,some,6113,Aggressive
43,69201,0,20,no,hold,tax_saving,some,8813,Moderate
28,44012,4,7,no,hold,wealth_creation,some,12693,Moderate
60,41347,2,5,no,buy_more,wealth_creation,none,3613,Moderate
55,31846,0,5,no,hold,wealth_creation,none,6170,Conservative
49,92392,1,1,yes,hold,wealth_creation,none,28613,Conservative
50,15636,4,7,no,sell,short_term,some,4482,Conservative
44,70195,1,10,no,buy_more,retirement,some,9140,Aggressive
23,39787,3,2,no,sell,child_education,none,2413,Conservative
36,40755,3,3,no,hold,tax_saving,none,7098,Conservative
40,104981,0,10,yes,hold,retirement,some,23941,Aggressive
57,35548,2,10,no,buy_more,retirement,some,10892,Moderate
29,36097,2,20,no,sell,retirement,some,7525,Conservative
40,46227,2,3,yes,hold,retirement,some,5997,Moderate
34,59055,1,15,yes,sell,tax_saving,none,15190,Aggressive
26,40181,0,2,yes,buy_more,child_education,some,6850,Aggressive
25,24143,0,2,yes,hold,retirement,some,7184,Moderate
35,33204,2,10,no,hold,wealth_creation,some,1896,Moderate
24,87255,2,5,yes,sell,child_education,none,15330,Moderate
23,50698,2,10,no,hold,tax_saving,some,8955,Aggressive
35,60053,1,3,yes,sell,wealth_creation,none,13587,Conservative
29,43580,0,3,no,hold,wealth_creation,none,6867,Aggressive
43,36432,0,7,no,buy_more,retirement,none,6217,Aggressive
21,104287,2,2,no,sell,retirement,some,28206,Conservative
33,45040,1,3,yes,hold,child_education,some,4566,Moderate
39,40154,2,2,no,sell,tax_saving,none,4879,Conservative
59,80279,0,5,yes,hold,wealth_creation,none,6479,Moderate
46,35416,1,10,no,hold,child_education,none,4508,Moderate
56,37510,3,2,yes,hold,wealth_creation,some,7562,Conservative
34,49247,0,7,yes,hold,retirement,some,5256,Aggressive
38,49026,0,7,no,buy_more,child_education,some,3533,Aggressive
37,55095,2,7,yes,buy_more,short_term,some,19223,Aggressive
56,125649,1,5,yes,buy_more,short_term,experienced,23441,Moderate
59,57028,4,10,yes,sell,retirement,some,17077,Conservative
59,16812,3,15,yes,buy_more,wealth_creation,experienced,4566,Aggressive
51,56774,2,2,no,hold,child_education,some,5656,Conservative
41,49863,0,15,no,sell,retirement,some,10156,Aggressive
42,49988,1,1,yes,hold,child_education,some,11015,Moderate
60,54757,3,5,no,sell,short_term,experienced,5330,Conservative
32,48392,1,7,no,buy_more,wealth_creation,none,4044,Moderate
34,47873,4,3,no,sell,child_education,some,6174,Conservative
56,64593,2,2,no,hold,child_education,some,8292,Conservative
36,38409,0,1,yes,sell,child_education,experienced,5118,Conservative
30,32001,1,1,yes,sell,wealth_creation,none,4023,Moderate
43,191128,2,7,no,buy_more,tax_saving,some,40909,Moderate
34,35520,0,2,no,hold,wealth_creation,none,4913,Conservative
56,51280,0,10,no,hold,retirement,experienced,14434,Moderate
57,25008,2,15,yes,hold,child_education,some,1643,Aggressive
33,51658,0,3,no,buy_more,child_education,some,12214,Moderate
42,32210,0,2,yes,hold,retirement,some,9074,Moderate
60,40170,2,5,no,sell,short_term,some,7276,Conservative
50,78454,2,15,yes,buy_more,child_education,some,11438,Aggressive
29,60621,1,5,no,hold,tax_saving,none,8543,Moderate
44,63309,4,2,no,sell,retirement,experienced,9391,Conservative
45,22091,4,20,yes,sell,retirement,some,1882,Moderate
47,112039,1,5,no,sell,tax_saving,none,25132,Conservative
22,28671,0,5,no,buy_more,child_education,some,6796,Aggressive
32,97523,2,15,yes,buy_more,wealth_creation,none,16277,Aggressive
55,77628,0,20,yes,hold,wealth_creation,some,26141,Aggressive
30,63563,3,5,no,hold,short_term,some,20558,Conservative
32,33364,1,3,yes,buy_more,child_education,some,4649,Aggressive
33,52481,1,5,yes,hold,child_education,none,14154,Aggressive
28,39659,1,3,no,hold,child_education,some,3366,Conservative
27,49665,1,5,no,buy_more,tax_saving,some,13774,Aggressive
34,43807,4,3,no,sell,child_education,some,11859,Conservative
55,19587,0,7,no,sell,tax_saving,some,3074,Conservative
21,81210,4,10,yes,buy_more,tax_saving,some,13487,Aggressive
32,47263,0,20,no,hold,retirement,some,10672,Aggressive
23,39412,2,15,yes,sell,wealth_creation,none,5283,Aggressive
43,38095,3,2,yes,hold,retirement,none,8450,Moderate
31,57601,1,3,no,hold,child_education,some,18218,Conservative
52,32787,0,7,no,hold,retirement,experienced,6014,Moderate
44,17768,3,3,yes,buy_more,wealth_creation,none,1976,Moderate
52,58877,3,1,no,buy_more,child_education,some,12800,Conservative
46,61919,0,10,no,hold,short_term,some,15223,Conservative
38,44809,1,5,yes,hold,short_term,none,9311,Moderate
55,29244,3,1,yes,hold,short_term,none,1669,Conservative
40,51022,0,7,yes,sell,retirement,some,12795,Moderate
58,25360,2,20,no,hold,wealth_creation,none,1548,Conservative
60,30876,1,10,yes,hold,short_term,none,5410,Conservative
44,34967,0,2,yes,buy_more,child_education,experienced,6095,Aggressive
47,71666,3,7,yes,buy_more,wealth_creation,experienced,21780,Aggressive
31,41640,0,15,no,sell,wealth_creation,none,12858,Conservative
53,40073,4,1,yes,buy_more,retirement,none,11321,Conservative
47,118138,1,7,yes,hold,tax_saving,some,34959,Moderate
57,57446,1,10,yes,sell,wealth_creation,experienced,6643,Moderate
31,57099,1,10,yes,hold,retirement,experienced,15124,Aggressive
52,41507,1,2,yes,buy_more,wealth_creation,experienced,11405,Aggressive
39,37482,3,15,no,hold,tax_saving,some,10623,Moderate
28,18326,2,5,no,hold,tax_saving,experienced,5285,Aggressive
27,75806,2,1,yes,hold,wealth_creation,none,7502,Aggressive
43,59978,1,2,no,hold,wealth_creation,none,7621,Conservative
33,45223,0,5,yes,hold,wealth_creation,some,12893,Aggressive
25,46085,0,1,no,hold,tax_saving,some,4341,Moderate
38,68272,2,10,yes,buy_more,wealth_creation,some,5952,Aggressive
47,24352,1,15,no,hold,child_education,some,8355,Moderate
33,37592,1,1,no,sell,wealth_creation,experienced,12793,Conservative
59,29397,1,15,no,hold,short_term,none,4439,Conservative
52,108790,1,20,yes,hold,wealth_creation,none,5719,Aggressive
41,72696,2,1,yes,hold,tax_saving,some,12320,Moderate
58,18192,2,10,no,hold,short_term,some,1050,Conservative
38,24805,4,20,yes,sell,retirement,none,2307,Moderate
26,46186,0,10,yes,hold,wealth_creation,none,5414,Aggressive
22,39632,1,7,yes,buy_more,retirement,experienced,11959,Aggressive
58,27011,0,15,yes,hold,tax_saving,experienced,4391,Aggressive
59,117611,3,10,yes,hold,child_education,some,6170,Conservative
50,56423,2,3,yes,hold,tax_saving,some,13601,Moderate
25,60698,1,3,no,hold,short_term,experienced,4321,Moderate
32,35903,3,7,yes,hold,wealth_creation,none,11425,Moderate
22,67847,1,5,yes,hold,wealth_creation,some,8386,Aggressive
23,41307,0,5,yes,hold,short_term,some,5011,Aggressive
30,43152,1,2,no,hold,retirement,experienced,7297,Moderate
43,64534,0,15,no,hold,retirement,none,5306,Moderate
23,23551,3,10,no,hold,retirement,experienced,1341,Aggressive
60,100575,2,5,no,sell,retirement,some,32617,Conservative
39,53213,2,3,no,hold,child_education,none,16447,Conservative
31,87240,3,2,yes,hold,retirement,some,28343,Conservative
41,30214,2,2,no,sell,retirement,none,7643,Conservative
52,32356,1,7,yes,sell,retirement,some,1744,Moderate
33,29060,0,2,no,hold,retirement,some,9937,Conservative
22,54865,1,20,yes,hold,wealth_creation,some,14409,Aggressive
23,50498,4,3,no,hold,retirement,some,8815,Conservative
55,39775,4,1,yes,hold,retirement,some,10729,Conservative
25,31059,2,15,yes,buy_more,retirement,none,6836,Aggressive
46,27723,0,5,no,sell,short_term,experienced,6972,Conservative
36,47962,0,5,yes,hold,tax_saving,experienced,14255,Aggressive
52,39754,3,2,yes,hold,short_term,some,13152,Conservative
23,36007,0,10,no,hold,retirement,none,10405,Aggressive
56,98340,1,5,no,buy_more,wealth_creation,experienced,31347,Conservative
48,47237,1,15,no,buy_more,child_education,experienced,10403,Aggressive
38,86813,0,7,yes,sell,retirement,experienced,13154,Moderate
29,38562,2,15,yes,sell,wealth_creation,none,9675,Aggressive
60,54729,4,7,yes,buy_more,wealth_creation,experienced,11868,Aggressive
33,47812,2,10,no,sell,retirement,none,3196,Conservative
40,22835,1,10,no,buy_more,tax_saving,some,5086,Aggressive
36,93223,1,5,yes,sell,tax_saving,some,16334,Moderate
30,46128,3,10,yes,hold,wealth_creation,some,7420,Aggressive
37,68589,1,10,yes,sell,wealth_creation,none,18336,Moderate
27,34946,1,1,yes,hold,wealth_creation,some,11026,Moderate
21,45516,2,10,yes,sell,wealth_creation,none,4967,Aggressive
32,33187,0,3,yes,hold,child_education,some,9573,Moderate
25,85493,0,7,yes,buy_more,short_term,none,8624,Aggressive
37,56394,3,2,yes,sell,wealth_creation,some,12572,Conservative
55,57824,2,1,yes,hold,retirement,some,17605,Conservative
27,90326,0,1,yes,sell,short_term,experienced,29062,Moderate
21,82483,0,2,no,hold,retirement,some,11756,Moderate
25,69175,4,1,yes,sell,child_education,some,20452,Conservative
41,25854,2,2,yes,hold,child_education,experienced,8108,Moderate
31,35844,2,7,yes,buy_more,wealth_creation,experienced,3650,Aggressive
40,31202,0,5,yes,buy_more,child_education,some,5161,Aggressive
22,68008,4,20,yes,buy_more,retirement,some,19237,Aggressive
34,52933,3,10,yes,sell,retirement,none,2880,Moderate
37,26219,1,2,yes,sell,child_education,some,6233,Conservative
38,45029,0,5,no,sell,short_term,experienced,7852,Moderate
43,25025,2,5,no,hold,wealth_creation,experienced,5136,Aggressive
52,47862,3,5,yes,sell,child_education,none,8400,Conservative
39,23273,2,5,yes,buy_more,retirement,none,2527,Aggressive
54,62191,4,10,no,buy_more,short_term,experienced,9610,Moderate
42,58109,2,7,yes,sell,child_education,experienced,17915,Conservative
31,115679,0,5,no,sell,child_education,some,26986,Conservative
30,71793,1,10,no,hold,wealth_creation,none,13868,Moderate
33,40525,3,3,yes,hold,wealth_creation,some,10610,Moderate
44,70836,0,15,yes,hold,child_education,some,7446,Aggressive
30,26135,0,20,yes,sell,wealth_creation,none,1961,Aggressive
57,31789,2,3,no,buy_more,child_education,none,6821,Conservative
40,56949,1,10,yes,hold,wealth_creation,none,3043,Aggressive
55,18560,3,15,no,sell,retirement,some,1753,Conservative
48,48207,0,5,yes,sell,retirement,none,12780,Conservative
34,30973,0,2,no,buy_more,tax_saving,some,9926,Conservative
30,51307,0,10,no,sell,retirement,none,6956,Moderate
50,30182,2,5,yes,buy_more,wealth_creation,some,4973,Aggressive
34,59332,2,3,yes,hold,child_education,experienced,15088,Aggressive
30,49449,1,7,yes,buy_more,retirement,some,14412,Aggressive
58,92057,1,5,no,buy_more,tax_saving,none,11789,Conservative
40,49169,0,2,no,buy_more,wealth_creation,some,14645,Moderate
22,34686,2,20,yes,hold,tax_saving,none,11855,Aggressive
40,43866,4,3,no,hold,wealth_creation,some,3350,Conservative
39,26771,2,7,yes,sell,child_education,none,3140,Moderate
55,58850,0,10,yes,hold,wealth_creation,experienced,15762,Aggressive
49,63922,2,2,no,hold,tax_saving,none,3899,Conservative
28,148916,0,10,yes,hold,retirement,experienced,20134,Aggressive
27,37055,0,7,no,hold,wealth_creation,some,11240,Moderate
45,43455,0,5,yes,sell,retirement,none,11059,Conservative
22,37831,0,7,no,hold,tax_saving,experienced,9163,Aggressive
33,53930,0,20,yes,sell,wealth_creation,some,12598,Aggressive
26,58206,2,15,yes,hold,short_term,some,11674,Aggressive
21,47857,0,2,yes,hold,wealth_creation,some,13401,Aggressive
57,79925,2,5,no,buy_more,tax_saving,none,24743,Conservative
24,37136,4,7,yes,hold,retirement,none,10719,Aggressive
21,76403,1,15,yes,buy_more,short_term,experienced,14883,Aggressive
58,62462,1,15,yes,buy_more,child_education,none,17711,Aggressive
28,48756,2,5,yes,sell,wealth_creation,experienced,13486,Aggressive
53,42543,0,15,no,hold,retirement,none,7944,Aggressive
22,146093,1,5,no,sell,tax_saving,some,21948,Moderate
27,33939,1,3,no,buy_more,retirement,some,5872,Aggressive
25,56053,3,7,yes,hold,wealth_creation,some,11096,Aggressive
49,34975,3,5,yes,sell,retirement,experienced,3290,Moderate
45,109483,3,7,yes,sell,wealth_creation,none,12650,Conservative
40,73062,2,5,yes,hold,child_education,some,5885,Moderate
30,36125,1,10,no,sell,retirement,none,2589,Conservative
24,61738,3,20,yes,hold,wealth_creation,none,13572,Aggressive
43,55048,3,3,no,buy_more,wealth_creation,none,14280,Moderate
30,38852,1,7,yes,sell,wealth_creation,some,9094,Moderate
44,68952,4,10,no,hold,tax_saving,some,18483,Moderate
48,58406,3,2,no,hold,short_term,none,10042,Conservative
54,54017,1,10,no,hold,child_education,experienced,15651,Moderate
40,48104,0,7,no,sell,wealth_creation,none,13195,Conservative
21,59514,0,2,yes,sell,retirement,experienced,15670,Moderate
32,54351,2,15,no,buy_more,wealth_creation,none,15207,Aggressive
55,50341,0,5,yes,hold,tax_saving,some,6012,Aggressive
42,36737,1,2,yes,hold,short_term,none,8112,Conservative
45,105050,2,3,yes,buy_more,short_term,some,29674,Moderate
39,30555,3,10,yes,sell,child_education,experienced,2434,Moderate
27,59422,3,20,no,sell,retirement,some,7375,Aggressive
56,42441,2,5,yes,sell,child_education,none,8371,Conservative
51,108206,1,1,yes,buy_more,child_education,some,18855,Moderate
60,32644,0,2,yes,hold,retirement,some,10585,Conservative
55,35211,2,7,no,hold,wealth_creation,none,9689,Conservative
32,31684,0,5,no,sell,short_term,some,1972,Conservative
31,56701,1,5,no,buy_more,wealth_creation,experienced,10750,Aggressive
30,26426,4,5,no,buy_more,retirement,none,7366,Conservative
57,39523,1,5,yes,hold,wealth_creation,some,9908,Aggressive
43,18609,2,7,yes,sell,tax_saving,experienced,3931,Moderate
39,54621,2,7,yes,hold,child_education,some,4127,Aggressive
59,39140,3,2,no,sell,child_education,some,12702,Conservative
45,25093,1,5,no,sell,child_education,none,4379,Conservative
57,79899,1,5,yes,hold,wealth_creation,none,7473,Moderate
60,27215,0,7,yes,hold,short_term,none,2049,Moderate
24,70166,2,2,no,buy_more,retirement,some,20028,Moderate
35,35758,0,2,no,sell,tax_saving,none,8361,Conservative
50,100781,1,7,no,sell,child_education,some,12649,Conservative
53,68685,2,3,yes,hold,child_education,some,14417,Moderate
26,31144,0,7,yes,hold,short_term,none,10400,Aggressive
33,32445,1,5,yes,hold,retirement,some,6421,Moderate
42,64375,0,3,yes,hold,retirement,some,10762,Aggressive
52,43561,0,7,no,sell,short_term,some,6201,Conservative
25,45423,0,5,yes,hold,wealth_creation,some,4755,Aggressive
45,86899,0,2,yes,buy_more,wealth_creation,none,28077,Moderate
32,34999,4,10,no,sell,child_education,some,3552,Conservative
29,51076,4,5,yes,hold,retirement,some,3390,Aggressive
41,75326,2,15,yes,sell,wealth_creation,some,6991,Moderate
37,70551,2,3,no,hold,retirement,some,7390,Conservative
46,45623,2,15,yes,buy_more,retirement,none,8095,Aggressive
33,43044,3,15,no,hold,retirement,some,13898,Moderate
53,22416,1,2,yes,sell,retirement,none,2027,Conservative
24,30475,0,7,no,hold,tax_saving,none,2860,Moderate
55,56571,2,7,yes,sell,wealth_creation,none,10250,Conservative
22,46071,4,5,yes,hold,wealth_creation,experienced,14794,Aggressive
50,50701,0,5,no,buy_more,child_education,some,16637,Moderate
34,78250,1,20,no,sell,wealth_creation,experienced,26233,Conservative
36,28730,1,10,yes,hold,tax_saving,some,2530,Aggressive
21,44078,1,20,yes,hold,tax_saving,experienced,11533,Aggressive
49,53365,2,15,yes,buy_more,tax_saving,some,13032,Aggressive
27,35707,1,15,yes,sell,wealth_creation,some,2111,Aggressive
47,93354,4,10,yes,hold,child_education,none,23496,Conservative
50,73781,2,7,yes,sell,wealth_creation,some,19116,Moderate
